Title,Actors,Director,Genre,Year,Runtime
Interstellar,Matthew McConaughey; Jessica Chastain; Anne Hathaway,Christopher Nolan,Adventure; Drama; Science Fiction,2014,169
Once Upon a Time in America,Robert De Niro; James Woods; Elizabeth McGovern,Sergio Leone,Drama; Crime,1984,229
The Lord of the Rings: The Fellowship of the Ring,Elijah Wood; Ian McKellen; Cate Blanchett,Peter Jackson,Adventure; Fantasy; Action,2001,178
Edge of Tomorrow,Tom Cruise; Emily Blunt; Brendan Gleeson,Doug Liman,Action; Science Fiction,2014,113
The Autopsy of Jane Doe,Emile Hirsch; Brian Cox; Ophelia Lovibond,André Øvredal,Horror; Mystery,2016,86
The Hobbit: The Battle of the Five Armies,Martin Freeman; Ian McKellen; Richard Armitage,Peter Jackson,Action; Adventure; Fantasy,2014,144
Star Wars: The Force Awakens,Daisy Ridley; John Boyega; Adam Driver,J.J. Abrams,Action; Adventure; Science Fiction; Fantasy,2015,136
The Imitation Game,Benedict Cumberbatch; Keira Knightley; Matthew Goode,Morten Tyldum,History; Drama; Thriller; War,2014,113
Batman v Superman: Dawn of Justice,Ben Affleck; Henry Cavill; Gal Gadot,Zack Snyder,Action; Adventure; Fantasy,2016,151
Pirates of the Caribbean: At World's End,Johnny Depp; Orlando Bloom; Keira Knightley,Gore Verbinski,Adventure; Fantasy; Action,2007,169
Collide,Nicholas Hoult; Felicity Jones; Anthony Hopkins,Eran Creevy,Thriller; Action,2016,98
Twilight,Kristen Stewart; Robert Pattinson; Billy Burke,Catherine Hardwicke,Adventure; Fantasy; Drama; Romance,2008,122
The Amazing Spider-Man,Andrew Garfield; Emma Stone; Rhys Ifans,Marc Webb,Action; Adventure; Fantasy,2012,136
Dunkirk,Fionn Whitehead; Tom Glynn-Carney; Jack Lowden,Christopher Nolan,Action; Drama; History; Thriller; War,2017,107
Arrival,Amy Adams; Jeremy Renner; Forest Whitaker,Denis Villeneuve,Thriller; Drama; Science Fiction; Mystery,2016,113
12 Years a Slave,Chiwetel Ejiofor; Michael Fassbender; Lupita Nyong'o,Steve McQueen,Drama; History,2013,134
Chappie,Sharlto Copley; Dev Patel; Ninja,Neill Blomkamp,Crime; Action; Science Fiction,2015,120
Terminator Genisys,Arnold Schwarzenegger; Jason Clarke; Emilia Clarke,Alan Taylor,Science Fiction; Action; Thriller; Adventure,2015,126
The House,Amy Poehler; Will Ferrell; Allison Tolman,Andrew J. Cohen,Comedy,2017,88
The Twilight Saga: New Moon,Kristen Stewart; Robert Pattinson; Taylor Lautner,Chris Weitz,Adventure; Fantasy; Drama; Romance,2009,130
Harry Potter and the Chamber of Secrets,Daniel Radcliffe; Rupert Grint; Emma Watson,Chris Columbus,Adventure; Fantasy; Family,2002,161
Pirates of the Caribbean: Dead Man's Chest,Johnny Depp; Orlando Bloom; Keira Knightley,Gore Verbinski,Adventure; Fantasy; Action,2006,151
Kong: Skull Island,Tom Hiddleston; Samuel L. Jackson; Brie Larson,Jordan Vogt-Roberts,Action; Adventure; Fantasy,2017,118
The Lord of the Rings: The Two Towers,Elijah Wood; Ian McKellen; Viggo Mortensen,Peter Jackson,Adventure; Fantasy; Action,2002,179
