Title,Actors,Director,Genre,Year,Runtime
Jumanji,Robin Williams; Jonathan Hyde; Kirsten Dunst,Joe Johnston,Adventure; Fantasy; Family,1995,104
Independence Day: Resurgence,Liam Hemsworth; Jeff Goldblum; Bill Pullman,Roland Emmerich,Action; Adventure; Science Fiction,2016,120
The Social Network,Jesse Eisenberg; Andrew Garfield; Justin Timberlake,David Fincher,Drama,2010,120
Smurfs: The Lost Village,Julia Roberts; Ariel Winter; Ellie Kemper,Kelly Asbury,Adventure; Animation; Comedy; Family,2017,89
Toy Story 3,Tom Hanks; Tim Allen; Ned Beatty,Lee Unkrich,Animation; Family; Comedy,2010,103
The Mummy Returns,Brendan Fraser; Rachel Weisz; John Hannah,Stephen Sommers,Adventure; Action; Fantasy,2001,130
The Prestige,Hugh Jackman; Christian Bale; Michael Caine,Christopher Nolan,Drama; Mystery; Thriller,2006,130
Danny Collins,Al Pacino; Annette Bening; Jennifer Garner,Dan Fogelman,Comedy; Drama; Music,2015,107
Kung Fu Panda,Jack Black; Dustin Hoffman; Angelina Jolie,Mark Osborne,Adventure; Animation; Family; Comedy,2008,90
Inglourious Basterds,Brad Pitt; Mélanie Laurent; Christoph Waltz,Quentin Tarantino,Drama; Action; Thriller; War,2009,153
Waterworld,Kevin Costner; Chaim Girafi; Rick Aviles,Kevin Reynolds,Adventure; Action,1995,135
Highlander,Christopher Lambert; Roxanne Hart; Clancy Brown,Russell Mulcahy,Adventure; Action; Fantasy,1986,116
A Bug's Life,Kevin Spacey; Julia Louis-Dreyfus; Hayden Panettiere,John Lasseter,Adventure; Animation; Comedy; Family,1998,95
Peter Pan,Bobby Driscoll; Kathryn Beaumont; Hans Conried,Clyde Geronimi,Animation; Music; Family; Adventure; Fantasy,1953,77
Run All Night,Liam Neeson; Ed Harris; Joel Kinnaman,Jaume Collet-Serra,Action; Crime; Drama; Mystery; Thriller,2015,114
Trolls,Anna Kendrick; Justin Timberlake; Zooey Deschanel,Mike Mitchell,Adventure; Animation; Family,2016,92
The Thing,Kurt Russell; Keith David; Wilford Brimley,John Carpenter,Horror; Mystery; Science Fiction,1982,109
Hidden Figures,Taraji P. Henson; Octavia Spencer; Janelle Monae,Theodore Melfi,Drama,2016,127
"The Good, the Bad and the Ugly",Eli Wallach; Clint Eastwood; Lee Van Cleef,Sergio Leone,Western,1966,161
Who Framed Roger Rabbit,Bob Hoskins; Christopher Lloyd; Joanna Cassidy,Robert Zemeckis,Fantasy; Animation; Comedy; Crime; Family,1988,104
Ricki and the Flash,Meryl Streep; Kevin Kline; Mamie Gummer,Jonathan Demme,Comedy; Drama; Music,2015,100
Dracula,Gary Oldman; Winona Ryder; Anthony Hopkins,Francis Ford Coppola,Romance; Horror,1992,128
Men in Black II,Tommy Lee Jones; Will Smith; Rip Torn,Barry Sonnenfeld,Action; Adventure; Comedy; Science Fiction,2002,88
A Mighty Heart,Angelina Jolie; Dan Futterman; Irrfan Khan,Michael Winterbottom,Drama; Thriller,2007,100
Irreversible,Monica Bellucci; Vincent Cassel; Albert Dupontel,Gaspar Noé,Drama; Thriller; Crime; Mystery,2002,97
Field of Dreams,Kevin Costner; Amy Madigan; Gaby Hoffmann,Phil Alden Robinson,Drama; Fantasy,1989,107
The A-Team,Liam Neeson; Bradley Cooper; Jessica Biel,Joe Carnahan,Thriller; Action; Adventure; Comedy; Crime,2010,117
The Handmaiden,Kim Min-hee; Kim Tae-Ri; Ha Jung-woo,Park Chan-wook,Thriller; Drama; Romance,2016,145
Spirit: Stallion of the Cimarron,Matt Damon; James Cromwell; Daniel Studi,Kelly Asbury,Western; Animation; Adventure; Comedy; Family,2002,83
The Fury of a Patient Man,Antonio de la Torre; Luis Callejo; Ruth Díaz,Raúl Arévalo,Thriller,2016,92
High Noon,Gary Cooper; Grace Kelly; Thomas Mitchell,Fred Zinnemann,Western,1952,85
2012,John Cusack; Amanda Peet; Chiwetel Ejiofor,Roland Emmerich,Action; Adventure; Science Fiction,2009,158
Night at the Museum,Ben Stiller; Jake Cherry; Carla Gugino,Shawn Levy,Action; Adventure; Comedy; Family; Fantasy,2006,108
Ice Age: The Meltdown,Ray Romano; John Leguizamo; Denis Leary,Carlos Saldanha,Animation; Family; Comedy; Adventure,2006,91
Badlands,Martin Sheen; Sissy Spacek; Ramon Bieri,Terrence Malick,Crime; Drama,1973,94
The Omen,Gregory Peck; Lee Remick; David Warner,Richard Donner,Horror; Thriller,1976,111
Die Hard,Bruce Willis; Alan Rickman; Alexander Godunov,John McTiernan,Action; Thriller,1988,131
Coraline,Dakota Fanning; Teri Hatcher; Jennifer Saunders,Henry Selick,Animation; Family,2009,100
Law Abiding Citizen,Jamie Foxx; Gerard Butler; Colm Meaney,F. Gary Gray,Drama; Crime; Thriller,2009,109
Basic Instinct,Michael Douglas; Sharon Stone; George Dzundza,Paul Verhoeven,Thriller; Mystery,1992,127
Saw: The Final Chapter,Tobin Bell; Costas Mandylor; Betsy Russell,Kevin Greutert,Horror; Crime,2010,90
Prometheus,Noomi Rapace; Michael Fassbender; Guy Pearce,Ridley Scott,Science Fiction; Adventure; Mystery,2012,124
The Princess and the Frog,Anika Noni Rose; Bruno Campos; Keith David,Ron Clements,Romance; Family; Animation; Music,2009,97
Jaws 3-D,Dennis Quaid; Bess Armstrong; Simon MacCorkindale,Joe Alves,Thriller; Horror,1983,99
Tron,Jeff Bridges; Bruce Boxleitner; David Warner,Steven Lisberger,Science Fiction; Action; Adventure,1982,96
Watchmen,Malin Åkerman; Billy Crudup; Matthew Goode,Zack Snyder,Action; Mystery; Science Fiction,2009,163
